rank,name,channel_Info,Posts,Followers,Avg__Likes,Eng_Rate,Category_Beauty_&_Makeup,Category_Craft/DIY,"Category_Health,_Sports_&_Fitness",Category_Lifestyle,Category_News_&_Politics,Category_entertainment,Category_fashion,Category_food,Category_photography,Category_technology
47,snoopdogg,male,55300,77600000000.0,55250.0,0.002,False,False,False,False,False,True,False,False,False,False
48,shraddhakapoor,female,1900,76700000000.0,1910.0,0.016,False,False,False,False,False,True,False,False,False,False
49,gigihadid,female,3300,76400000000.0,3290.0,0.034,False,False,False,False,False,False,True,False,False,False
50,davidbeckham,male,1600,76200000000.0,1590.0,0.011000000000000001,False,False,True,False,False,False,False,False,False,False
51,victoriassecret,brand,3100,73800000000.0,3140.0,0.001,False,False,False,False,False,False,True,False,False,False
52,aliaabhatt,female,1900,73600000000.0,1900.0,0.02,False,False,False,False,False,True,False,False,False,False
53,nehakakkar,female,2400,72900000000.0,2380.0,0.013000000000000001,False,False,False,False,False,True,False,False,False,False
54,nba,community,53000,72600000000.0,52950.0,0.003,False,False,True,False,False,False,False,False,False,False
55,jennierubyjane,female,900,72400000000.0,930.0,0.087,False,False,False,False,False,True,False,False,False,False
56,shawnmendes,male,2500,71000000000.0,2550.0,0.031,False,False,False,False,False,True,False,False,False,False
57,narendramodi,male,559000,70900000000.0,559000.0,0.033,False,False,False,False,True,False,False,False,False,False
58,deepikapadukone,female,347000,70500000000.0,347000.0,0.013999999999999999,False,False,False,False,False,True,False,False,False,False
59,katrinakaif,female,1100,68900000000.0,1050.0,0.026000000000000002,False,False,False,False,False,True,False,False,False,False
60,emmawatson,female,417000,68800000000.0,417000.0,0.011000000000000001,False,False,False,False,False,True,False,False,False,False
61,ronaldinho,male,3000,68300000000.0,3020.0,0.01,False,False,True,False,False,False,False,False,False,False
62,tomholland2013,male,1200,67700000000.0,1220.0,0.099,False,False,False,False,False,True,False,False,False,False
63,justintimberlake,male,790000,67500000000.0,790000.0,0.006999999999999999,False,False,False,False,False,True,False,False,False,False
64,marvel,community,7400,67000000000.0,7390.0,0.004,False,False,False,False,False,True,False,False,False,False
65,sooyaaa__,female,900,66599999999.99999,920.0,0.08,False,False,False,False,False,True,False,False,False,False
66,raffinagita1717,male,18300,66000000000.0,18260.0,0.004,False,False,False,False,False,True,False,False,False,False
67,camila_cabello,female,3000,65800000000.0,2970.0,0.018000000000000002,False,False,False,False,False,True,False,False,False,False
